company_id,scoring_month,Quick Ratio,ROA(B) before interest and depreciation after tax,Borrowing dependency,Research and development expense rate,Quick Assets/Current Liability
TW-01244,2026-10,0.00356899113772272,0.552277959205525,0.387513794977666,0.0,0.00369988594190064
TW-06303,2026-10,0.003056194298847,0.530649392365758,0.38406924441323,543000000.0,0.00330722360462334
TW-04712,2026-10,0.00410574344936346,0.609561539696986,0.38216355799706103,2780000000.0,0.00417519227787246
TW-03273,2026-10,0.01319983979777586,0.709245676963435,0.38053298828181803,0.000250263634232,0.01343872751394708
TW-06430,2026-10,0.02235981369629202,0.495422667166336,0.37963718146295,0.00096794638993,0.02331859789236918
TW-03255,2026-10,0.00289037751080178,0.49927726323679,0.388954243395522,0.0001331117294694,0.00301874773679352
TW-03758,2026-10,0.00226603800186402,0.510626907222014,0.388294410657529,0.0001757278571439,0.0024890688706158
TW-06037,2026-10,0.00278669523024078,0.511858236522298,0.38860419653621403,2750000000.0,0.00417563172981948
TW-00985,2026-10,0.00942123827335938,0.604047325873976,0.38019076994652,815000000.0,0.009395087799002281
TW-05371,2026-10,0.00350086776204726,0.54446169495155,0.388652286040847,3580000000.0,0.0037886681132381396
TW-00777,2026-10,0.00407093315300184,0.480646715562932,0.37963718146295,0.0,0.0043527147444498
TW-02108,2026-10,0.00033837105280554,0.52765137319985,0.38708769959940303,0.0,0.0004392559237446
TW-06357,2026-10,0.00371684132119422,0.528186733765191,0.398757792177291,0.0,0.004033869054752459
TW-03821,2026-10,0.0008788664070658199,0.585523850313186,0.380691795483165,0.0,0.0019290005847365397
TW-00259,2026-10,0.00307678103325444,0.536163606188768,0.385122740072872,0.0,0.00308877878663994
TW-02196,2026-10,0.01297862597896158,0.563038706568874,0.37963718146295,0.0,0.01342051077878178
TW-02772,2026-10,0.00222224440321548,0.506772311151561,0.383642030674394,2170000000.0,0.00216939419066742
TW-05511,2026-10,0.00146465257702242,0.531291825044167,0.384823019439343,6280000000.0,0.0018208080185251798
TW-03177,2026-10,0.00492247534894512,0.548369827078537,0.37963718146295,0.0001872732622509,0.0052584469950837
TW-01518,2026-10,0.00903832501338138,0.565554901225976,0.379710993260759,0.000263337107662,0.010143171856979398
TW-03143,2026-10,0.01063098964799178,0.588414797366026,0.37963718146295,0.0002090057895113,0.01097228092291812
TW-00754,2026-10,0.00380630003980098,0.623213234113175,0.382890492369426,5640000000.0,0.00484727517929352
TW-05940,2026-10,0.00901212371504466,0.513303710048718,0.37963718146295,7860000000.0,0.00938529280904424
TW-01419,2026-10,0.008775563421490318,0.42454092831522,0.380284712234641,0.0017109271656421,0.00912631256865786
TW-01319,2026-10,0.0023079600792027598,0.617538412120563,0.382784248115003,221000000.0,0.00272503383400932
TW-05370,2026-10,0.0113994362977815,0.522297767546443,0.380709689252331,222000000.0,0.011814793851629458
TW-06250,2026-10,0.0011232870901212,0.46945767974731,0.38719506221439903,5640000000.0,0.00127070589948282
TW-05817,2026-10,0.005062839447177539,0.442261363027999,0.38194883276707003,1440000000.0,0.0064215504533918395
TW-01841,2026-10,0.00753212466328212,0.442368435141068,0.383130939892593,0.0001655407349906,0.007632900728019539
TW-05423,2026-10,0.00223272492255018,0.561593233042454,0.386253402612043,1680000000.0,0.0025274315464866
TW-02981,2026-10,0.002250317222862,0.550993093848707,0.38514958072662103,8270000000.0,0.00229332623972016
TW-05140,2026-10,0.00437973416911314,0.537341399432518,0.386009600007158,7390000000.0,0.0045656295365982
TW-03115,2026-10,0.00844430414966184,0.656619733390438,0.382153492751905,2040000000.0,0.0087257100800148
TW-00413,2026-10,0.00286492482098898,0.50623695058622,0.379907824721584,0.0,0.00306660544532508
TW-02834,2026-10,0.00484574297524476,0.588843085818299,0.396271676623804,0.0,0.00649588991203434
TW-03472,2026-10,0.01790971032593166,0.694898013812303,0.37963718146295,0.0001414312125612,0.01804382979490482
TW-02199,2026-10,0.01070622480464436,0.508699609186787,0.37967073228013604,0.0,0.01080996126550656
TW-00251,2026-10,0.00215561824458786,0.502757106911505,0.386113607540434,917000000.0,0.0021695122605981
TW-05740,2026-10,0.0049217267404212,0.593125970341025,0.383261788079618,4620000000.0,0.0049137785403996605
TW-03732,2026-10,0.0191232047431836,0.623159698056641,0.37963718146295,0.0003253087674278,0.01961926222470408
TW-03287,2026-10,0.00859589737575282,0.573049949140746,0.380512857791506,8680000000.0,0.009574121417686559
TW-04356,2026-10,0.00545136727108482,0.521119974302693,0.382331312082991,0.0001254713878544,0.00554773906496952
TW-06083,2026-10,0.0072240722556947395,0.495904491675143,0.38217809668450803,0.0003708112463791,0.0075280582046997595
TW-06441,2026-10,0.00392008853543472,0.501472241554687,0.387236441555595,2900000000.0,0.00426475304663508
TW-00135,2026-10,0.00675170027710992,0.528079661652123,0.38292516154718503,1320000000.0,0.008508209675476079
TW-01110,2026-10,0.008696959526480159,0.536163606188768,0.37963718146295,1580000000.0,0.00886637030110974
TW-02785,2026-10,0.0010405658482295999,0.591948177097275,0.390772697687007,0.0,0.00248026348704462
TW-04054,2026-10,0.01773266441002788,0.575566143797848,0.37963718146295,0.0003322699675659,0.01811006361934392
TW-03934,2026-10,0.00383324994666162,0.53894748112854,0.38512945023631,4070000000.0,0.00399090587438358
TW-01065,2026-10,0.00242212287909846,0.553455752449275,0.390938215051791,1900000000.0,0.00256738301707716
TW-06100,2026-10,0.007035422907670379,0.57743990577654,0.379709874900186,2680000000.0,0.00714184386179298
TW-02647,2026-10,0.0008272124189163,0.526580652069169,0.386458062596878,0.0,0.00086788505956758
TW-02499,2026-10,8.796150155892e-05,0.619572782268858,0.381236437082153,0.0,0.0001000528688385
TW-01606,2026-10,0.01085220346680606,0.566518550243589,0.37963718146295,255000000.0,0.0115447417110258
TW-01215,2026-10,0.0014949712222406398,0.505166229455538,0.392096836605284,323000000.0,0.00150841828961496
TW-04180,2026-10,0.010444586125539179,0.588789549761765,0.380994871198413,0.0001767465693592,0.01063785156719838
TW-00355,2026-10,0.00149309970093084,0.526634188125703,0.38831454114784103,119000000.0,0.00200633016746292
TW-02911,2026-10,0.00596191828438884,0.610043364205793,0.381848180315512,486000000.0,0.0060599893957842
TW-05171,2026-10,0.0024135138810735,0.494673162374859,0.38495274926579603,0.0003394009530731,0.0028863660525882
TW-05474,2026-10,0.00379319939063262,0.552277959205525,0.381923110473894,1920000000.0,0.00390480267641832
TW-06450,2026-10,0.010447580559634798,0.571283259275122,0.37963718146295,4110000000.0,0.01087121586619614
TW-02424,2026-10,0.00336761544479196,0.561111408533647,0.382902794335727,0.0,0.004023056894157
TW-05687,2026-10,0.00368390254614234,0.577279297606938,0.387895155933015,4330000000.0,0.0036649871635395597
